image_url,price,title,url,internal_name,category,match
https://www.taiyou.fr/an_content/_upload/img-prod/48850/3_1.jpg,0,twice  secret life @house  2023 seasons greetings,https://www.taiyou.fr/p/twice-secret-life-house-2023-season-s-greetings/48850.html,seasons greetings 2023,autre,1
https://www.taiyou.fr/an_content/_upload/img-prod/30753/3_1.jpg,0,twice  the story begins  1st mini album,https://www.taiyou.fr/p/the-story-begins-1st-mini-album/30753.html,the story begins,album,1
https://www.taiyou.fr/an_content/_upload/img-prod/31514/3_3.jpg,18.00,twice  page two pink ion  mini album  2,https://www.taiyou.fr/p/page-two-pink-version-mini-album-vol-2/31514.html,page two pink ion,album,1
https://www.taiyou.fr/an_content/_upload/img-prod/31515/3_3.jpg,18.00,twice  page two mint ion  mini album  2,https://www.taiyou.fr/p/page-two-mint-version-mini-album-vol-2/31515.html,page two mint ion,album,1
https://www.taiyou.fr/an_content/_upload/img-prod/32160/3_1.jpg,0,twice  twice tv2,https://www.taiyou.fr/p/twice-tv2/32160.html,twice tv2,autre,1
https://www.taiyou.fr/an_content/_upload/img-prod/32391/3_1.jpg,0,twice  page two monograph 1 disc,https://www.taiyou.fr/p/page-two-monograph-1-disc/32391.html,page two monograph,photobook,1
https://www.taiyou.fr/an_content/_upload/img-prod/32431/3_1.jpg,0,twice  twice tv3,https://www.taiyou.fr/p/twice-tv3/32431.html,twice tv3,autre,1
https://www.taiyou.fr/an_content/_upload/img-prod/32445/3_3.jpg,0,twice  twicecoaster  lane 1  3rd mini album apricot ,https://www.taiyou.fr/p/twicecoaster-lane-1-3rd-mini-album-apricot-version/32445.html,twicecoaster lane 1 apricot,album,1
https://www.taiyou.fr/an_content/_upload/img-prod/32446/3_3.jpg,0,twice  twicecoaster  lane 1  3rd mini album neon magenta ,https://www.taiyou.fr/p/twicecoaster-lane-1-3rd-mini-album-neon-magenta-ver/32446.html,twicecoaster lane 1 neon magenta,album,1
https://www.taiyou.fr/an_content/_upload/img-prod/32922/3_1.jpg,0,twice  twicecoaster  lane 1  christmas edition,https://www.taiyou.fr/p/twicecoaster-lane-1-christmas-edition/32922.html,twicecoaster lane 1 christmas,album,1
https://www.taiyou.fr/an_content/_upload/img-prod/33484/3_1.jpg,20.00,twice  twicecoaster lane 2  repackage album,https://www.taiyou.fr/p/twice-twicecoaster-lane-2ab-special-album-vers/33484.html,twicecoaster lane 2,album,1
https://www.taiyou.fr/an_content/_upload/img-prod/33828/3_1.jpg,0,twice  twice tv4 limited 3 dvd,https://www.taiyou.fr/p/twice-tv4-3-dvd/33828.html,twice tv4,autre,1
https://www.taiyou.fr/an_content/_upload/img-prod/33963/3_1.jpg,0,twice  twicecoaster  lane 1 monograph,https://www.taiyou.fr/p/twicecoaster-lane-1-monograph/33963.html,twceicoaster lane 1 monograph,photobook,1
https://www.taiyou.fr/an_content/_upload/img-prod/34031/3_1.jpg,20.00,twice  signal  mini album 4,https://www.taiyou.fr/p/twice-signal-4th-mini-album/34031.html,signal,album,1
https://www.taiyou.fr/an_content/_upload/img-prod/34452/3_1.jpg,0,twice  twice super event 1 dvd edition limited,https://www.taiyou.fr/p/twice-super-event-1-dvd-edition-limitee/34452.html,super event 1 dvd,concert,1
https://www.taiyou.fr/an_content/_upload/img-prod/34453/3_1.jpg,0,twice  one in a million  twice 1st photobook,https://www.taiyou.fr/p/one-in-a-million-twice-1st-photobook/34453.html,one in a million,photobook,1
https://www.taiyou.fr/an_content/_upload/img-prod/35011/3_1.jpg,20.00,twice  twicetagram,https://www.taiyou.fr/p/twice-twicetagram/35011.html,twicetagram,album,1
https://www.taiyou.fr/an_content/_upload/img-prod/35069/3_1.jpg,0,twice  signal monograph edition limited,https://www.taiyou.fr/p/twice-signal-monograph-edition-limitee/35069.html,signal monograph,photobook,1
https://www.taiyou.fr/an_content/_upload/img-prod/35384/3_1.jpg,0,twice  twiceland  the opening concert 3 dvd,https://www.taiyou.fr/p/twice-twiceland-the-opening-concert-3-dvd/35384.html,twiceland the opening dvd,concert,1
https://www.taiyou.fr/an_content/_upload/img-prod/35403/3_1.jpg,0,twice  merry & happy  1st album repackage,https://www.taiyou.fr/p/twice-merry-happy-1st-album-repackage/35403.html,merry & happy,album,1
https://www.taiyou.fr/an_content/_upload/img-prod/35525/3_1.jpg,0,twice  twice tv5  twice in switzerland photobook,https://www.taiyou.fr/p/twice-tv5-in-switzerland-photobook/35525.html,twice tv5 in switzerland,photobook,1
https://www.taiyou.fr/an_content/_upload/img-prod/35834/3_1.jpg,0,twice  twicetagram monograph 1 dvd,https://www.taiyou.fr/p/twicetagram-monograph-1-dvd/35834.html,twicetagram monograph,photobook,1
https://www.taiyou.fr/an_content/_upload/img-prod/35989/3_1.jpg,0,twice  merry & happy monograph 1 dvd,https://www.taiyou.fr/p/merry-happy-monograph-1-dvd/35989.html,merry & happy monograph,photobook,1
https://www.taiyou.fr/an_content/_upload/img-prod/36038/3_1.jpg,0,twice  what is love ?  mini album 5,https://www.taiyou.fr/p/what-is-love-5th-mini-album/36038.html,what is love ?,album,1
https://www.taiyou.fr/an_content/_upload/img-prod/36338/3_1.jpg,0,twice  twiceland  the opening encore 2 dvd,https://www.taiyou.fr/p/twice-twiceland-the-opening-encore-2-dvd/36338.html,twiceland the opening encore 2 dvd,concert,1
https://www.taiyou.fr/an_content/_upload/img-prod/36339/3_1.jpg,0,twice  twiceland  the opening encore 2 bluray mezz,https://www.taiyou.fr/p/twice-twiceland-the-opening-encore-2-blu-ray/36339.html,twiceland the opening encore 2 bluray,concert,1
https://www.taiyou.fr/an_content/_upload/img-prod/36811/3_1.jpg,0,twice  summer nights  special album  2,https://www.taiyou.fr/p/twice-summer-nights-special-album-vol-2/36811.html,summer nights,album,1
